	Row.names	Filtered_P6-17_mean	Filtered_P9-27_mean	theta	prob	log2FC	V2	V3	V4	V5	V6	V7	V8	V9
4703	TRINITY_DN80775_c0_g1::TRINITY_DN80775_c0_g1_i1::g.2417	0.5	26.3682848548333	-1.03068487252338	0.996652335877914	-5.72073182794421	NA	NA	NA	NA	NA	NA	NA	NA
4704	TRINITY_DN80779_c0_g1::TRINITY_DN80779_c0_g1_i1::g.2429	3.69733611216667	12.1355886207	-0.297845063070425	0.666396211599665	-1.714685981138	NA	NA	NA	NA	NA	NA	NA	NA
4705	TRINITY_DN80780_c0_g1::TRINITY_DN80780_c0_g1_i1::g.2407	19.1039447239	16.2663779713	0.0521722952768568	0.0504725317059623	0.231977525001111	NA	NA	NA	NA	NA	NA	NA	NA
4706	TRINITY_DN808_c0_g1::TRINITY_DN808_c0_g1_i1::g.6557	989.1123898098	733.2352418621	0.458268310752998	0.903992380350825	0.431858330777827	NA	NA	NA	NA	NA	NA	NA	NA
4707	TRINITY_DN808_c1_g1::TRINITY_DN808_c1_g1_i1::g.6558	0.5	0.496009393833333	0.00299162285643981	0.000221330786082885	0.0115606510727311	NA	NA	NA	NA	NA	NA	NA	NA
4708	TRINITY_DN80816_c0_g1::TRINITY_DN80816_c0_g1_i1::g.21983	23.2142441785333	16.0074368003667	0.11729947595981	0.21965895019217	0.53626799564208	NA	NA	NA	NA	NA	NA	NA	NA
4709	TRINITY_DN80818_c0_g1::TRINITY_DN80818_c0_g1_i1::g.21986	21.3690094329667	16.4382633231	0.0823162950273699	0.120523114209033	0.378462144385558	NA	NA	NA	NA	NA	NA	NA	NA
4710	TRINITY_DN8082_c0_g1::TRINITY_DN8082_c0_g1_i1::g.7878	54.4757449059667	0.5	1.27206801759199	0.997648137375062	6.76754211389805	NA	NA	NA	NA	NA	NA	NA	NA
4711	TRINITY_DN80899_c0_g1::TRINITY_DN80899_c0_g1_i1::g.21974	11.5466759294	0.5	0.777415080982845	0.990514024958113	4.52940568156001	NA	NA	NA	NA	NA	NA	NA	NA
4712	TRINITY_DN80904_c0_g1::TRINITY_DN80904_c0_g1_i1::g.21975	14.2556677377333	0.526046981966667	0.827047741209933	0.991556024731401	4.76020015238236	NA	NA	NA	NA	NA	NA	NA	NA
4713	TRINITY_DN80919_c0_g1::TRINITY_DN80919_c0_g1_i1::g.22712	1.3646173633	13.9981224155667	-0.571215592404153	0.962997949326616	-3.35866494638786	NA	NA	NA	NA	NA	NA	NA	NA
4714	TRINITY_DN8092_c1_g1::TRINITY_DN8092_c1_g1_i1::g.7892	18.6484595735667	61.9983771856333	-0.485751162173942	0.919401357485479	-1.7331739894258	NA	NA	NA	NA	NA	NA	NA	NA
4715	TRINITY_DN80921_c0_g1::TRINITY_DN80921_c0_g1_i1::g.22714	25.7975728223333	10.1239345516333	0.279943387241666	0.673154834691521	1.34946524936512	NA	NA	NA	NA	NA	NA	NA	NA
